BOMCode,MachineModel,Version,ItemCode,ItemName,SubAssemblyTag,QtyPerMachine,Unit,ScrapPercent,EstHoursPerUnit
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,4110008100,INJECTION MANIFOLD MTG STRIP - 280,90-280,2.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,4110008200,GREASE PUMP MOUNTING PLATE,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3130800100,JUNCTION BOX COVER,90-280,2.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3130800200,PLC BOX COVER,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3130800300,HEATER WIRE JUNCTION BOX COVER,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100100,PLC BOX  MTG TOP BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100200,PLC BOX MTG BOTTOM BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100300,"MOLD HEIGHT STOP LIMIT SWITCH 
OPERATING PIN MTG BRACKET",90-280,2.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100400,MOLD HEIGHT STOP LIMIT SWITCH MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100500,CROSS HEAD LOCKING LIMIT STOP PIN MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100600,TOGGLE LIMIT SWITCH MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100700,EJECTOR LINEAR MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100800,HEATER WIRE JUNCTION BOX MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131100900,HYD MOTOR RPM PROXY SENSOR MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131101000,INJECTION LINEAR MOUNTING BRACKET - 280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131101100,INJECTION LINEAR SHAFT MTG BRACKET - 280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131101200,NOZZLE CYLINDER LIMIT SWITCH PIN MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131101300,NOZZLE CYLINDER STOP LIMIT SWITCH MTG BRACKET,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,3131300100,INJECTION GUARD SUPPORT BRACKET - 280,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6160100100,DSG-01-3C2-D24 (YUKEN),90-280,2.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6160100200,DSG-01-3C4-D24 (YUKEN),90-280,2.0,NOS,0.0,0.5
