BOM Code,Machine Model / Assembly Name,Version,Sub-Assembly Block,Item / Part Code,Old Item Code,Item Description,Category,BOM Qty Per Machine,Unit,Lead Time Days,Scrap %,Estimated Assembly Hours
BOM-GEC-0002,PATTERN-110-420,Rev 1.0,PATTERN-110-420,4005013500,-,HEAT EXCHANGER FRONT CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0002,PATTERN-110-420,Rev 1.0,PATTERN-110-420,4005013600,-,HEAT EXCHANGER END CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0002,PATTERN-110-420,Rev 1.0,PATTERN-110-420,,-,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005000300,-,STATIONARY PLATE TOGGLE - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005001400,-,MOVING PLATE  TOGGLE - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005002500,-,END PLATE - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005003800,-,CROSSHEAD - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005004400,-,CROSSHEAD LINK - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005005000,-,BINARY LINK - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005005600,-,TERNARY LINK - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005006500,-,SUN GEAR - 140 TON (MODULE-3 TEETH-197) (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005007100,-,GEAR NUT RETAINER - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005007500,-,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005010000,-,BARREL PLATE - 635 (STOCK-210) (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005011400,-,BEARING HOUSING - 635 (PATTERN),PTN,1.0,NOS,25,0,2.5
